DATE,DCOILBRENTEU
11/05/2015,62082
12/05/2015,65009
13/05/2015,66033
14/05/2015,65058
15/05/2015,64069
18/05/2015,65015
19/05/2015,63048
20/05/2015,63052
21/05/2015,6407
22/05/2015,6407
25/05/2015,0
26/05/2015,61065
27/05/2015,61035
28/05/2015,60012
29/05/2015,63016
01/06/2015,62087
02/06/2015,63014
03/06/2015,62078
04/06/2015,60034
05/06/2015,60036
08/06/2015,61033
09/06/2015,63023
10/06/2015,64068
11/06/2015,63076
12/06/2015,63019
15/06/2015,60099
16/06/2015,60075
17/06/2015,60075
18/06/2015,61037
19/06/2015,59041
22/06/2015,60054
23/06/2015,61067
24/06/2015,61063
25/06/2015,60024
26/06/2015,60014
29/06/2015,59003
30/06/2015,60031
01/07/2015,61065
02/07/2015,61073
03/07/2015,59006
06/07/2015,57019
07/07/2015,54072
08/07/2015,5507
09/07/2015,57083
10/07/2015,57072
13/07/2015,57063
14/07/2015,5702
15/07/2015,57034
16/07/2015,57031
17/07/2015,56038
20/07/2015,56042
21/07/2015,55094
22/07/2015,56036
23/07/2015,55076
24/07/2015,54029
27/07/2015,54007
28/07/2015,5403
29/07/2015,54073
30/07/2015,54029
31/07/2015,53029
03/08/2015,49049
04/08/2015,49008
05/08/2015,49004
06/08/2015,4708
07/08/2015,47054
10/08/2015,4803
11/08/2015,47033
12/08/2015,48029
13/08/2015,48001
14/08/2015,47079
17/08/2015,47077
18/08/2015,47
19/08/2015,45075
20/08/2015,45063
21/08/2015,43084
24/08/2015,41059
25/08/2015,41086
26/08/2015,41076
27/08/2015,44046
28/08/2015,47097
31/08/2015,0
01/09/2015,4808
02/09/2015,47067
03/09/2015,50041
04/09/2015,48059
07/09/2015,46042
08/09/2015,48088
09/09/2015,48004
10/09/2015,47077
11/09/2015,46087
14/09/2015,45087
15/09/2015,45091
16/09/2015,49035
17/09/2015,48027
18/09/2015,47028
21/09/2015,47064
22/09/2015,46069
23/09/2015,48
24/09/2015,47006
25/09/2015,47028
28/09/2015,46004
29/09/2015,47058
30/09/2015,47029
01/10/2015,47048
02/10/2015,46055
05/10/2015,49045
06/10/2015,51034
07/10/2015,51066
08/10/2015,52013
09/10/2015,52008
12/10/2015,50095
13/10/2015,48094
14/10/2015,48025
15/10/2015,47087
16/10/2015,48096
19/10/2015,47051
20/10/2015,46093
21/10/2015,46072
22/10/2015,46059
23/10/2015,4603
26/10/2015,46057
27/10/2015,45054
28/10/2015,4706
29/10/2015,48004
30/10/2015,48
02/11/2015,47091
03/11/2015,48
04/11/2015,46096
05/11/2015,47019
06/11/2015,46009
09/11/2015,45038
10/11/2015,46044
11/11/2015,44098
12/11/2015,44098
13/11/2015,41098
16/11/2015,40028
17/11/2015,41028
18/11/2015,41045
19/11/2015,42022
20/11/2015,42049
23/11/2015,4307
24/11/2015,44038
25/11/2015,43056
26/11/2015,43055
27/11/2015,43007
30/11/2015,43073
01/12/2015,42097
02/12/2015,41092
03/12/2015,42
04/12/2015,41044
07/12/2015,39069
08/12/2015,39044
09/12/2015,39004
10/12/2015,38065
11/12/2015,36099
14/12/2015,36051
15/12/2015,37066
16/12/2015,36096
17/12/2015,36029
18/12/2015,36076
21/12/2015,35034
22/12/2015,35026
23/12/2015,35079
24/12/2015,37022
25/12/2015,0
28/12/2015,37008
29/12/2015,36085
30/12/2015,35065
31/12/2015,36061
01/01/2016,0
04/01/2016,36028
05/01/2016,35056
06/01/2016,33089
07/01/2016,33057
08/01/2016,31067
11/01/2016,30014
12/01/2016,29014
13/01/2016,28058
14/01/2016,28084
15/01/2016,2808
18/01/2016,27036
19/01/2016,27036
20/01/2016,26001
21/01/2016,27059
22/01/2016,30046
25/01/2016,29082
26/01/2016,30094
27/01/2016,31083
28/01/2016,33001
29/01/2016,33014
01/02/2016,32045
02/02/2016,30098
03/02/2016,32038
04/02/2016,32076
05/02/2016,32035
08/02/2016,31064
09/02/2016,30015
10/02/2016,29064
11/02/2016,28082
12/02/2016,3108
15/02/2016,0
16/02/2016,31009
17/02/2016,33021
18/02/2016,3302
19/02/2016,31066
22/02/2016,33059
23/02/2016,3109
24/02/2016,3105
25/02/2016,32083
26/02/2016,35076
29/02/2016,35092
01/03/2016,35073
02/03/2016,36038
03/03/2016,35075
04/03/2016,37061
07/03/2016,39002
08/03/2016,39016
09/03/2016,40026
10/03/2016,38063
11/03/2016,39041
14/03/2016,38006
15/03/2016,37049
16/03/2016,38038
17/03/2016,39029
18/03/2016,39026
21/03/2016,39091
22/03/2016,40054
23/03/2016,38084
24/03/2016,38033
25/03/2016,0
28/03/2016,38033
29/03/2016,36075
30/03/2016,36075
31/03/2016,36075
01/04/2016,36042
04/04/2016,36005
05/04/2016,35088
06/04/2016,37077
07/04/2016,37015
08/04/2016,40071
11/04/2016,41058
12/04/2016,43002
13/04/2016,42081
14/04/2016,43002
15/04/2016,41032
18/04/2016,41064
19/04/2016,43002
20/04/2016,43009
21/04/2016,43048
22/04/2016,43097
25/04/2016,42097
26/04/2016,43094
27/04/2016,44017
28/04/2016,4506
29/04/2016,45064
02/05/2016,45082
03/05/2016,43009
04/05/2016,43008
05/05/2016,44039
06/05/2016,4406
09/05/2016,42043
10/05/2016,44001
11/05/2016,46008
12/05/2016,46043
13/05/2016,47005
16/05/2016,48049
17/05/2016,48071
18/05/2016,48093
19/05/2016,47001
20/05/2016,48054
23/05/2016,47077
24/05/2016,48042
25/05/2016,48087
26/05/2016,49052
27/05/2016,49009
30/05/2016,0
31/05/2016,49026
01/06/2016,48081
02/06/2016,49005
03/06/2016,4805
06/06/2016,48094
07/06/2016,49076
08/06/2016,50073
09/06/2016,50059
10/06/2016,4907
13/06/2016,49036
14/06/2016,47088
15/06/2016,47047
16/06/2016,45066
17/06/2016,46057
20/06/2016,48068
21/06/2016,48018
22/06/2016,48043
23/06/2016,48063
24/06/2016,46069
27/06/2016,45007
28/06/2016,46029
29/06/2016,4804
30/06/2016,48005
01/07/2016,47065
04/07/2016,48002
05/07/2016,45064
06/07/2016,4507
07/07/2016,45093
08/07/2016,44053
11/07/2016,44004
12/07/2016,46072
13/07/2016,44067
14/07/2016,46001
15/07/2016,46025
18/07/2016,45035
19/07/2016,4507
20/07/2016,45082
21/07/2016,44099
22/07/2016,44024
25/07/2016,43076
26/07/2016,43056
27/07/2016,42078
28/07/2016,41087
29/07/2016,40076
01/08/2016,40017
02/08/2016,40
03/08/2016,40045
04/08/2016,41033
05/08/2016,42047
08/08/2016,43024
09/08/2016,43037
10/08/2016,42019
11/08/2016,44023
12/08/2016,45012
15/08/2016,47031
16/08/2016,48027
17/08/2016,48058
18/08/2016,49046
19/08/2016,49039
22/08/2016,4801
23/08/2016,4807
24/08/2016,47056
25/08/2016,49025
26/08/2016,49066
29/08/2016,49066
30/08/2016,47094
31/08/2016,47094
01/09/2016,45005
02/09/2016,45096
05/09/2016,46072
06/09/2016,46021
07/09/2016,47
08/09/2016,49023
09/09/2016,48037
12/09/2016,47082
13/09/2016,46048
14/09/2016,45065
15/09/2016,45083
16/09/2016,45026
19/09/2016,46004
20/09/2016,45024
21/09/2016,45099
22/09/2016,47021
23/09/2016,46071
26/09/2016,46061
27/09/2016,44095
28/09/2016,45049
29/09/2016,48043
30/09/2016,48024
03/10/2016,48061
04/10/2016,48081
05/10/2016,49057
06/10/2016,50014
07/10/2016,50049
10/10/2016,51054
11/10/2016,50048
12/10/2016,49053
13/10/2016,49029
14/10/2016,48087
17/10/2016,49031
18/10/2016,49081
19/10/2016,51085
20/10/2016,50042
21/10/2016,50028
24/10/2016,4908
25/10/2016,49008
26/10/2016,48098
27/10/2016,49013
28/10/2016,47078
31/10/2016,4602
01/11/2016,45077
02/11/2016,44026
03/11/2016,43084
04/11/2016,43006
07/11/2016,42083
08/11/2016,43047
09/11/2016,43088
10/11/2016,43067
11/11/2016,41061
14/11/2016,41083
15/11/2016,44015
16/11/2016,45007
17/11/2016,44057
18/11/2016,44041
21/11/2016,45096
22/11/2016,4601
23/11/2016,46054
24/11/2016,47054
25/11/2016,46032
28/11/2016,46064
29/11/2016,44068
30/11/2016,47095
01/12/2016,52028
02/12/2016,52035
05/12/2016,5303
06/12/2016,52031
07/12/2016,5109
08/12/2016,5106
09/12/2016,52019
12/12/2016,53099
13/12/2016,53028
14/12/2016,53015
15/12/2016,51072
16/12/2016,54015
19/12/2016,53053
20/12/2016,54056
21/12/2016,53001
22/12/2016,54004
23/12/2016,53093
26/12/2016,0
27/12/2016,0
28/12/2016,54095
29/12/2016,54097
30/12/2016,54096
02/01/2017,0
03/01/2017,55005
04/01/2017,54057
05/01/2017,54099
06/01/2017,5509
09/01/2017,54039
10/01/2017,5302
11/01/2017,53061
12/01/2017,54051
13/01/2017,54037
16/01/2017,5403
17/01/2017,54068
18/01/2017,53077
19/01/2017,53018
20/01/2017,55004
23/01/2017,5408
24/01/2017,5407
25/01/2017,54034
26/01/2017,55089
27/01/2017,5408
30/01/2017,54077
31/01/2017,55025
01/02/2017,55079
02/02/2017,55094
03/02/2017,55092
06/02/2017,55002
07/02/2017,53079
08/02/2017,54042
09/02/2017,53098
10/02/2017,5502
13/02/2017,54015
14/02/2017,54096
15/02/2017,54057
16/02/2017,54016
17/02/2017,54048
20/02/2017,55025
21/02/2017,56034
22/02/2017,5409
23/02/2017,55082
24/02/2017,54069
27/02/2017,54065
28/02/2017,53036
01/03/2017,55072
02/03/2017,54016
03/03/2017,54012
06/03/2017,54073
07/03/2017,54061
08/03/2017,5303
09/03/2017,50065
10/03/2017,50063
13/03/2017,5001
14/03/2017,4906
15/03/2017,50063
16/03/2017,50056
17/03/2017,50058
20/03/2017,50067
21/03/2017,50014
22/03/2017,49056
23/03/2017,50017
24/03/2017,49097
27/03/2017,50012
28/03/2017,50072
29/03/2017,51036
30/03/2017,52025
31/03/2017,5202
03/04/2017,52004
04/04/2017,53008
05/04/2017,53041
06/04/2017,53062
07/04/2017,54024
10/04/2017,54079
11/04/2017,54073
12/04/2017,54075
13/04/2017,55005
14/04/2017,0
17/04/2017,54079
18/04/2017,5206
19/04/2017,52043
20/04/2017,50066
21/04/2017,49093
24/04/2017,49045
25/04/2017,49037
26/04/2017,49099
27/04/2017,49046
28/04/2017,49046
01/05/2017,50041
02/05/2017,49031
03/05/2017,48082
04/05/2017,47053
05/05/2017,47045
08/05/2017,46061
09/05/2017,47006
10/05/2017,48009
11/05/2017,49018
12/05/2017,49008
15/05/2017,51029
16/05/2017,51021
17/05/2017,51076
18/05/2017,51071
19/05/2017,52078
22/05/2017,53035
23/05/2017,53019
24/05/2017,53029
25/05/2017,52025
26/05/2017,50084
29/05/2017,52025
30/05/2017,50065
31/05/2017,4904
01/06/2017,50041
02/06/2017,48046
05/06/2017,48025
06/06/2017,48011
07/06/2017,47008
08/06/2017,4603
09/06/2017,46064
12/06/2017,47018
13/06/2017,46095
14/06/2017,45047
15/06/2017,45061
16/06/2017,4507
19/06/2017,45093
20/06/2017,43098
21/06/2017,44062
22/06/2017,44046
23/06/2017,44014
26/06/2017,44009
27/06/2017,46017
28/06/2017,46045
29/06/2017,47002
30/06/2017,47008
03/07/2017,49013
04/07/2017,49015
05/07/2017,47058
06/07/2017,48053
07/07/2017,46047
10/07/2017,46057
11/07/2017,46068
12/07/2017,46073
13/07/2017,47065
14/07/2017,47089
17/07/2017,47066
18/07/2017,47092
19/07/2017,48034
20/07/2017,48054
21/07/2017,47047
24/07/2017,47081
25/07/2017,49019
26/07/2017,50008
27/07/2017,50067
28/07/2017,52
31/07/2017,51099
01/08/2017,50077
02/08/2017,52009
03/08/2017,52088
04/08/2017,52048
07/08/2017,51042
08/08/2017,52018
09/08/2017,52016
10/08/2017,52059
11/08/2017,51047
14/08/2017,51029
15/08/2017,4909
16/08/2017,50039
17/08/2017,50037
18/08/2017,50096
21/08/2017,51094
22/08/2017,52029
23/08/2017,52031
24/08/2017,51073
25/08/2017,51087
28/08/2017,51087
29/08/2017,51064
30/08/2017,51091
31/08/2017,52069
01/09/2017,53015
04/09/2017,5206
05/09/2017,53063
06/09/2017,54048
07/09/2017,54016
08/09/2017,54055
11/09/2017,5402
12/09/2017,55006
13/09/2017,55052
14/09/2017,56076
15/09/2017,56018
18/09/2017,5505
19/09/2017,56058
20/09/2017,5702
21/09/2017,57073
22/09/2017,58016
25/09/2017,59042
26/09/2017,59077
27/09/2017,58074
28/09/2017,5808
29/09/2017,57002
02/10/2017,55067
03/10/2017,56012
04/10/2017,56
05/10/2017,57009
06/10/2017,5505
09/10/2017,55029
10/10/2017,56062
11/10/2017,56013
12/10/2017,56013
13/10/2017,56086
16/10/2017,57049
17/10/2017,57063
18/10/2017,58005
19/10/2017,57082
20/10/2017,57089
23/10/2017,57069
24/10/2017,57084
25/10/2017,58045
26/10/2017,58075
27/10/2017,60015
30/10/2017,60065
31/10/2017,61035
01/11/2017,60098
02/11/2017,60079
03/11/2017,61042
06/11/2017,64027
07/11/2017,64036
08/11/2017,63096
09/11/2017,64049
10/11/2017,64035
13/11/2017,62094
14/11/2017,60091
15/11/2017,61025
16/11/2017,61018
17/11/2017,61034
20/11/2017,61034
21/11/2017,62028
22/11/2017,62092
23/11/2017,63027
24/11/2017,63058
27/11/2017,63025
28/11/2017,63056
29/11/2017,63074
30/11/2017,63053
01/12/2017,64057
04/12/2017,63045
05/12/2017,63045
06/12/2017,62025
07/12/2017,62037
08/12/2017,63086
